;;;MAT;;;;;;WAPLS;;;;;;CREST;;;;;;;;;;;
SiteNumber;SiteName;Age Cal BP;TANN;TANN_Sigma;MTWA;MTWA_Sigma;MTCO;MTCO_Sigma;TANN;TANN_Sigma;MTWA;MTWA_Sigma;MTCO;MTCO_Sigma;TANN;TANN_Sigma_Pos;TANN_Sigma_Neg;Sigma;MTWA;MTWA_Sigma_Pos;MTWA_Sigma_Neg;Sigma;MTCO;MTCO_Sigma_Pos;MTCO_Sigma_Neg;Sigma
5;Ioannina;22478,4;7,807969028;3,564565342;10,72616181;5,99807975;-6,030384818;5,805001264;6,916169951;3,972213228;20,80500126;6,916169951;-4,273838189;5,99807975;12,29373776;5,089544772;19,51675838;7,204192988;22,25557462;21,28864432;23,23961981;0,966930297;5,330112358;4,116058029;6,511255628;1,214054329
5;Ioannina;22553;3,243973853;2,920918766;10,74046252;5,998070487;-6,947113811;4,216313273;6,899381385;3,972470507;19,21631327;6,899381385;-4,259537476;5,998070487;12,16926962;4,389194597;19,96498249;7,780075023;22,81405785;21,88894447;23,73986993;0,925113377;3,857110513;2,557278639;5,142571286;1,299831874
5;Ioannina;22776,8;8,042189059;2,548542996;13,37324231;5,99776786;-2,616630117;3,82618356;8,604805519;3,972132087;18,82618356;8,604805519;-1,626757694;5,99776786;12,66472562;5,537768884;19,76888444;7,126956736;22,6230391;21,71385693;23,53976988;0,909182168;4,909594074;3,735867934;6,093046523;1,17372614
5;Ioannina;22883,4;7,989539858;2,784982013;12,52217753;5,997684565;-3,321842035;3,803425943;8,115019796;3,97195666;18,80342594;8,115019796;-2,47782247;5,997684565;12,39917351;4,445222611;20,35717859;7,953950899;22,79118409;21,76388194;23,81490745;1,027302153;4,397486349;2,937468734;5,864932466;1,460017615
5;Ioannina;22936,7;6,638498316;3,647203785;10,60409289;5,99813973;-8,251814842;5,801828932;6,912531484;3,972188852;20,80182893;6,912531484;-4,395907105;5,99813973;12,5831399;5,621810905;19,54477239;6,961328995;22,21449685;21,1885943;23,26463232;1,025902553;5,653660321;4,344172086;6,967483742;1,309488235
6;Lake Iznik;18653;13,23556821;3,104755823;20,04327238;6,608489037;3,373697897;3,392139065;14,72241562;4,455251938;18,39213907;14,72241562;5,043272384;6,608489037;13,07752735;2,064032016;24,08304152;11,01349533;22,74595332;20,58829415;24,91545773;2,157659172;3,605943387;0,770385193;6,473236618;2,835558194
6;Lake Iznik;19076;4,528811243;2,574166263;15,25812472;6,336664035;-12,03124555;4,555346381;10,93503192;4,241561551;19,55534638;10,93503192;0,258124715;6,336664035;12,12552229;2,148074037;22,09404702;9,977448253;21,99936756;20,46323162;23,53976988;1,536135941;4,763748815;2,709354677;6,853426713;2,054394137
6;Lake Iznik;19961;6,715882668;2,239439402;18,23539687;6,830939521;-2,706563036;3,687296629;13,33518742;4,630717898;18,68729663;13,33518742;3,235396871;6,830939521;12,65549558;2,316158079;22,99049525;10,3393375;22,22216534;20,4132066;24,04002001;1,80895874;3,25259415;0,618309155;5,864932466;2,634284996
6;Lake Iznik;20649;7,423246938;2,491410468;17,87612388;6,57104104;0,007049978;3,551588965;12,87707377;4,433030871;18,55158897;12,87707377;2,876123885;6,57104104;11,93568712;1,587793897;22,26213107;10,34789322;22,67009236;20,66333167;24,69034517;2,006760699;3,29550268;0,770385193;5,788894447;2,525117488
6;Lake Iznik;21125;5,518325346;2,363401939;17,7910945;6,909198761;-7,329070431;4,727900538;13,16336738;4,685955735;19,72790054;13,16336738;2,791094496;6,909198761;12,7068231;2,624312156;22,76638319;10,08251094;22,2527761;20,51325663;24,0150075;1,739519476;3,429377286;0,808404202;6,017008504;2,620973084
