Place;Deg_Lon;Deg_Lat;altitude;Biome;TANN;PANN;MTCO;MTWA
Bakker_b51;30,57936667;37,5498;1568;TAIG;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b52;30,50788333;37,66731667;1529;TEDE;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b53;30,58413333;37,55566667;1525;TAIG;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b54;30,49498333;37,63465;1258;WAMX;10,14913448;869,698627;0,960879559;19,82470512
Bakker_b55;30,4954;37,63301667;1402;WAMX;10,14913448;869,698627;0,960879559;19,82470512
Bakker_b56;30,49288333;37,65836667;1488;WAMX;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b57;30,4759;37,6618;1182;WAMX;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b58;30,55078333;37,63006667;1237;WAMX;10,14913448;869,698627;0,960879559;19,82470512
Bakker_b59;30,55943333;37,62411667;1269;XERO;10,14913448;869,698627;0,960879559;19,82470512
Bakker_b6;30,4964;37,64573333;1397;WAMX;10,14913448;869,698627;0,960879559;19,82470512
Bakker_b60;30,56118333;37,61925;1349;XERO;10,14913448;869,698627;0,960879559;19,82470512
Bakker_b61;30,59718333;37,56245;1246;XERO;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b62;30,594;37,6279;1166;XERO;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b63;30,56458333;37,6217;1285;XERO;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b64;30,56413333;37,6205;1162;XERO;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b7;30,52878333;37,67591667;1100;WAMX;10,13750028;807,4859869;0,789316691;19,90592448
Bakker_b8;30,58115;37,58416667;1231;XERO;11,52920011;940,1871242;1,982149879;21,5954539
Bakker_b9;30,40558333;37,56308333;1269;WAMX;9,758345221;799,1766384;0,655050496;19,35021528
Barboni_a1;27,11;44,08;200;COST;11,91082963;614,7494602;1,054549257;22,3500646
Barboni_a10;26,9;44,11;200;COST;11,89198065;624,4013;0,930507978;22,38198789
Barboni_a100;40,099;37,909;200;WAMX;15,01634408;726,0466743;2,57643497;27,75199318
Barboni_a101;39,72;38,18;200;WAMX;14,06786556;677,7849597;0,997770429;27,0882473
Barboni_a102;39,72;38,18;200;COST;14,06786556;677,7849597;0,997770429;27,0882473
Barboni_a103;39,72;38,18;200;COST;14,06786556;677,7849597;0,997770429;27,0882473
