Place;Biome;Deg_Lon;Deg_Lat;altitude;TANN;PANN;MTCO;MTWA
Finsinger_a15;TEFO;7.91041149497752;45.3245480476282;59;11.9027158717314;1115.451529;2.60668162504831;21.2108345031738
Finsinger_a16;TEFO;7.49086594010446;45.1172383908716;340;10.2858396495382;1279.616497;0.813182244698204;19.5995737711588
Finsinger_a17;TEFO;8.69268401368483;45.7643534118201;130;11.7804964184761;1579.208272;2.7732412815094;20.7837740580241
Finsinger_a18;TEFO;13.6862665799491;41.7010842586896;585;10.8438369433085;1125.965517;2.66106589635213;19.5667362213135
Finsinger_a19;TEFO;12.9423268082854;42.0791689995319;64;11.5929797490438;1079.884436;3.81060934066772;20.0113042195638
Finsinger_a2;TEFO;12.6696680668051;41.7484233022717;554;13.7280797163645;1006.253033;6.22385565439859;21.9095141092936
Finsinger_a20;TEFO;8.82626725666381;45.8976915789821;1600;10.8517061273257;1738.010015;2.15923317273458;19.6200453440348
Finsinger_a21;TEFO;10.0499384277162;44.3858083829471;1760;9.75319373607633;1339.596076;1.85710080464681;18.104554494222
Finsinger_a22;TEFO;8.82307761993759;45.9169108370751;505;10.8517061273257;1738.010015;2.15923317273458;19.6200453440348
Finsinger_a23;TEFO;12.8499861351256;41.6905622184478;184;13.301258444786;1075.583512;5.86869033177693;21.3991330464681
Finsinger_a24;TEFO;7.48348125480382;44.0983438409357;233;5.20014965301378;1175.340872;-2.59012468655904;13.521141052246
Finsinger_a25;TEFO;10.5117902943771;45.7814962735163;40;6.66098464528718;1449.016013;-2.10935270786285;15.274829228719
Finsinger_a26;TEFO;9.40917716081863;44.5030015770452;770;9.27744969725605;1534.35339;1.97746773560842;17.0026041666666
Finsinger_a27;TEFO;6.93645208022537;45.0463343992846;61;0.793676704168314;1146.316152;-8.13318252563476;10.0459699630737
Finsinger_a28;TEFO;15.6373603223747;38.2686840004918;0;17.3550095558166;906.4225638;11.5849876403808;23.8900235493978
Finsinger_a29;TEFO;15.8368926136657;40.143162466366;1;11.5772909323374;1005.323392;4.17123730977376;19.6726417541503
Finsinger_a3;TEFO;7.79597435174097;45.462496431533;1770;7.70545709133146;1392.645986;-1.13241116205851;16.6815869013468
Finsinger_a30;TEFO;7.88835644223549;45.4772768196188;45;9.05777324611939;1324.160471;0.127639825145404;18.0566940307617
Finsinger_a31;TEFO;14.8389588117868;37.952065975626;91;13.2782601912816;778.0542701;6.47418133417765;20.8892250061035
Finsinger_a32;TEFO;12.3157366152355;42.1132525103624;75;14.0105771223704;1050.214233;6.46956157684326;22.268933614095
Finsinger_a33;TEFO;7.78983992619272;45.4765905061514;75;7.70545709133146;1392.645986;-1.13241116205851;16.6815869013468
Finsinger_a34;TEFO;11.7697785898308;42.6116497736326;84;13.1487797498703;967.9092908;5.45738363265991;21.639019648234
Finsinger_a35;TEFO;7.99249395299537;45.3398659541722;-415;11.7419522007306;1138.164518;2.41109267870585;21.0610771179199
Finsinger_a36;TEFO;9.13760904832572;45.7828112535765;-22;10.9184591472149;1535.113091;1.76249460379282;19.931988398234
Finsinger_a37;TEFO;8.66291418164825;45.7961859302308;-29;11.7804964184761;1579.208272;2.7732412815094;20.7837740580241
Finsinger_a38;TEFO;15.604818410507;40.9313631696719;14;12.465045372645;686.853776;4.44637823104858;21.3474464416504
Finsinger_a39;TEFO;12.702254747557;41.712136275001;31;14.154307047526;1021.479524;6.87389405568441;22.1179860432942
Finsinger_a4;TEFO;9.21469351246119;45.7866257143131;1500;10.7864481757084;1533.182158;1.57587311665217;19.8151346842448
Finsinger_a40;TEFO;7.13751936855062;44.215877678637;202;2.9750497067968;1250.386298;-5.02951542536417;11.5731439590454
Finsinger_a41;TEFO;10.2167864273587;44.2985808132252;1100;9.13200764854747;1368.064213;1.30266749858856;17.4495398203531
Finsinger_a42;TEFO;13.0138969474105;42.3823669350174;780;10.3329464395841;1032.710638;2.30865613619486;18.9331518809
Finsinger_a43;TEFO;15.0272852330425;36.707097276035;161;18.3312911192576;473.827898;12.8238709767659;24.6006978352864
Finsinger_a44;TEFO;8.0869900912189;46.0073560559538;201;2.20692976315816;2634.040046;-6.83082723617553;11.3187828063965
Finsinger_a45;TEFO;8.12961866961645;46.1296153700311;112;0.810750822226197;2244.518216;-8.26181681950887;9.8564227422078
